NAME,R_T,ResTime,B2A_ratio,NB_Yield,DNB_Yield,CO2e,TOTALCOST
TYPE,DATA,DATA,DATA,DATA,DATA,DATA,DATA
141,75,0.009171044,0.628841531,18.07145049,1.67E-05,10.6145293,4200.27939
142,75,0.008143509,0.524034609,17.86448647,1.63E-05,10.6991114,4717.8324
143,75,0.007320998,0.449172522,17.38847815,1.53E-05,10.7543135,5221.96879
144,75,0.006648339,0.393025957,16.76294787,1.41E-05,10.7789722,5713.51952
145,75,0.006088303,0.349356406,16.05521765,1.29E-05,10.7467315,6191.64441
146,75,0.00561495,0.314420766,15.31079431,1.17E-05,10.7189772,6659.10593
147,75,0.015280879,0.786051914,22.11198543,2.67E-05,10.634561,4229.73489
148,75,0.013360169,0.628841531,22.77448733,2.84E-05,10.7901984,4399.24645
149,75,0.011861749,0.524034609,22.77466172,2.84E-05,10.9015345,4461.00093
150,75,0.010662319,0.449172522,22.38144761,2.73E-05,10.9582852,4886.4224
151,75,0.009681499,0.393025957,21.75391758,2.56E-05,10.9806067,5408.03608
152,75,0.008865004,0.349356406,20.98478237,2.37E-05,10.9500109,5906.3985
153,75,0.008174984,0.314420766,20.13842831,2.17E-05,10.0047934,6396.92192
154,75,0.020081098,0.786051914,25.43151303,3.70E-05,9.7881928,4476.39411
155,75,0.017556068,0.628841531,26.47825025,4.07E-05,10.9555385,4772.28405
156,75,0.015585802,0.524034609,26.70861265,4.15E-05,11.0689557,4910.82411
157,75,0.014008596,0.449172522,26.4377165,4.05E-05,11.13706,4977.05822
158,75,0.012718888,0.393025957,25.85668127,3.86E-05,11.1621348,5091.35405
159,75,0.011645324,0.349356406,25.07928652,3.61E-05,11.1393276,5639.44311
160,75,0.010738132,0.314420766,24.1856157,3.34E-05,11.0984231,6143.35869
161,75,0.024886809,0.786051914,28.09665883,4.71E-05,10.9057878,4801.79512
162,75,0.021756928,0.628841531,29.50524402,5.30E-05,11.0979883,5054.39352
163,75,0.019314197,0.524034609,29.96586102,5.50E-05,11.225302,5225.28947
164,75,0.017358629,0.449172522,29.83119974,5.45E-05,11.3020403,5335.26316
165,75,0.01575952,0.393025957,29.31930056,5.25E-05,11.2663264,5380.83634
166,75,0.014428452,0.349356406,28.56168144,4.96E-05,11.3153168,5319.53583
167,75,0.01330372,0.314420766,27.65191336,4.62E-05,11.2772861,5906.72981
